id,name,Status,Release_Date,Genre,Language,Director,Color,Censor_Details,Censor_Dates,Censor_Certificate_No,Runtime,Certification,Length_in_metres,Banner,Music_Company,Studio,Shooting_Location
533168,Bandit Queen,{},25 Jan 1996,"Social, Adult, Offbeat",Hindi,Shekhar Kapur,C,{},Not Available.,Not Available.,Not Available.,Not Available.,0.0,"","","",""
4124548,Moods Of Crime,Completed,2016,"Suspense, Thriller",Hindi,Sunil Shah,C,{},12 Feb 2015,DIL/3/23/2015,115 Minutes,A,0.0,Bhumii Creations,"","",""
4765128,Bahubali,Released,10 Jul 2015,Action,Telugu,S.S. Rajamouli,C,{},Not Available.,Not Available.,Not Available.,Not Available.,0.0,Dharma Productions|  AA Films| Arka Media Works Pvt Ltd,Zee Music Company,"",""
57101,Gawaahi,{},1 Jan 1989,Social,Hindi,Anant Balani,C,{},Not Available.,Not Available.,Not Available.,Not Available.,0.0,"",T-Series,"",""
550309,7 Welcome To London,Released,9 Mar 2012,Romance,Hindi,Asad Shan,C,{},Not Available.,Not Available.,Not Available.,Not Available.,0.0,"",T-Series,"",""
568655,Total Siyapaa,Released,7 Mar 2014,"Comedy, Drama",Hindi,E Niwas,C,{},24 Feb 2014,DIL/2/40/2014,108 Minutes,U/A,0.0,Reliance Entertainment|   A Friday Filmworks| AKA Pictures Company Ltd,T-Series,"",""
597982,Ooops a Desi,Released,23 Aug 2013,"Romance, Thriller, Action",Hindi,Jenner Jose,C,{},18 Jun 2013,DIL/2/116/2013,126 Minutes,U/A,0.0,Jenner Entertainment LLC,Lotus Music,"",""
3033341,Tere Ishq Mein Qurbaan,Released,3 Apr 2015,Love / Romance,Hindi,M. Dahek,C,{},2 Mar 2015,DIL/2/41/2015,146 Minutes,A,0.0,Innocent Entertainment,FilmyBox Music,"",""
566830,Huff! - It's Too Much,Released,8 Nov 2013,Romantic-Comedy,Hindi,Pushkar Jog,C,{},7 Nov 2013, DIL/2/228/2013,99 Minutes, U/A,0.0,Genlock Films|Goosebumps Entertainment,"","",""
502801,Ek Second... Jo Zindagi Badal De?,{},11 Jun 2010,Thriller,Hindi,Partho Ghosh,C,{},Not Available.,Not Available.,Not Available.,Not Available.,0.0,Saroj Entertainment P. Ltd,Saregama-HMV,"",""
66449,Click,{},19 Feb 2010,Horror,Hindi,Sangeeth Sivan,C,{},Not Available.,Not Available.,Not Available.,Not Available.,0.0,Sangeeth Sivan Productions|Rupali Entertainment|Pritish Nandy Communications|RNA Play Entertainment,T-Series,,""
502816,My Name Is Khan,Released,12 Feb 2010,Social,Hindi,Karan Johar,C,{},Not Available.,Not Available.,Not Available.,NA,0.0,Dharma Productions|Fox Searchlight Pictures|Red Chillies Entertainment|Fox Star Studios,Sony Music,,""
533079,Dulha Mil Gaya,{},8 Jan 2010,"Comedy, Romance",Hindi,Mudassar Aziz,C,{},Not Available.,Not Available.,Not Available.,Not Available.,0.0,insight productions|Maverick Productions,T-Series,"",""
510946,Kidnap,{},2 Oct 2008,"Action, Thriller",Hindi,Sanjay Gadhvi,C,{},25 Sep 2008,CIL/2/96/2008,Not Available.,U/A,4117.01,Shree Ashtavinayak Cinevision Ltd,Sony Music,"",""
54390,Tahaan,{},5 Sep 2008,{},Hindi,Santosh Sivan,C,{},Not Available.,Not Available.,Not Available.,Not Available.,0.0,Santosh Sivan Films Pvt. Ltd.,T-Series,"",""
201565,Money Hai Toh Honey Hai,{},25 Jul 2008,Comedy,Hindi,Ganesh Acharya,C,{},Not Available.,CIL/2/73/2008,Not Available.,B,0.0,Big Screen Entertainment Pvt Ltd,Eros Music,,""
508530,Rama Rama Kya Hai Dramaaa,{},2 Jan 2008,"Comedy, Social",Hindi,Chandrakant Singh,C,{},Not Available.,Not Available.,Not Available.,Not Available.,0.0,Oracle Entertainment Pvt Ltd,T-Series,,""
